Tue Jun 17 08:49:09 UTC 2025 Starting master on 4fdf0e11b739
core file size          (blocks, -c) 0
2025-06-17T08:49:34,205 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] assignment.AssignmentManager: Joined the cluster in 154 msec
2025-06-17T08:49:34,247 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=4fdf0e11b739,16000,1750150153003-ClusterStatusChore, period=60000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:34,249 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=4fdf0e11b739,16000,1750150153003-BalancerChore, period=300000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:34,249 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=4fdf0e11b739,16000,1750150153003-RegionNormalizerChore, period=300000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:34,252 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=CatalogJanitor-4fdf0e11b739:16000, period=300000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:34,253 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=HbckChore-, period=3600000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:34,276 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.TableNamespaceManager: Namespace table not found. Creating...
2025-06-17T08:49:34,279 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.HMaster: Client=null/null create 'hbase:namespace', {NAME => 'info', BLOOMFILTER => 'ROW', IN_MEMORY => 'true', VERSIONS => '10', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'NONE', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '8192 B (8KB)', REPLICATION_SCOPE => '0'}
2025-06-17T08:49:34,308 INFO  [PEWorker-8] procedure.CreateTableProcedure: pid=4, state=RUNNABLE:CREATE_TABLE_PRE_OPERATION, locked=true; CreateTableProcedure table=hbase:namespace execute state=CREATE_TABLE_PRE_OPERATION
2025-06-17T08:49:34,318 INFO  [PEWorker-8] storefiletracker.StoreFileTrackerFactory: instantiating StoreFileTracker impl org.apache.hadoop.hbase.regionserver.storefiletracker.DefaultStoreFileTracker
2025-06-17T08:49:34,337 INFO  [PEWorker-8] procedure.CreateTableProcedure: pid=4, state=RUNNABLE:CREATE_TABLE_WRITE_FS_LAYOUT, locked=true; CreateTableProcedure table=hbase:namespace execute state=CREATE_TABLE_WRITE_FS_LAYOUT
2025-06-17T08:49:34,435 INFO  [RegionOpenAndInit-hbase:namespace-pool-0] regionserver.HRegion: creating {ENCODED => 48e6e558fbe7d28989b7535d829f9bc0, NAME => 'hbase:namespace,,1750150174278.48e6e558fbe7d28989b7535d829f9bc0.', STARTKEY => '', ENDKEY => ''}, tableDescriptor='hbase:namespace', {TABLE_ATTRIBUTES => {METADATA => {'hbase.store.file-tracker.impl' => 'DEFAULT'}}}, {NAME => 'info', BLOOMFILTER => 'ROW', IN_MEMORY => 'true', VERSIONS => '10', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'NONE', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '8192 B (8KB)', REPLICATION_SCOPE => '0'}, regionDir=hdfs://atlas-hadoop:9000/hbase
2025-06-17T08:49:34,469 INFO  [RegionOpenAndInit-hbase:namespace-pool-0] regionserver.HRegion: Closing region hbase:namespace,,1750150174278.48e6e558fbe7d28989b7535d829f9bc0.
2025-06-17T08:49:34,470 INFO  [RegionOpenAndInit-hbase:namespace-pool-0] regionserver.HRegion: Closed hbase:namespace,,1750150174278.48e6e558fbe7d28989b7535d829f9bc0.
2025-06-17T08:49:34,480 INFO  [PEWorker-8] procedure.CreateTableProcedure: pid=4, state=RUNNABLE:CREATE_TABLE_ADD_TO_META, locked=true; CreateTableProcedure table=hbase:namespace execute state=CREATE_TABLE_ADD_TO_META
2025-06-17T08:49:34,585 INFO  [PEWorker-8] hbase.MetaTableAccessor: Added 1 regions to meta.
2025-06-17T08:49:34,590 INFO  [PEWorker-8] procedure.CreateTableProcedure: pid=4, state=RUNNABLE:CREATE_TABLE_ASSIGN_REGIONS, locked=true; CreateTableProcedure table=hbase:namespace execute state=CREATE_TABLE_ASSIGN_REGIONS
2025-06-17T08:49:34,622 INFO  [PEWorker-8] hbase.MetaTableAccessor: Updated tableName=hbase:namespace, state=ENABLING in hbase:meta
2025-06-17T08:49:34,638 INFO  [PEWorker-8] procedure2.ProcedureExecutor: Initialized subprocedures=[{pid=5, ppid=4, state=RUNNABLE:REGION_STATE_TRANSITION_GET_ASSIGN_CANDIDATE; TransitRegionStateProcedure table=hbase:namespace, region=48e6e558fbe7d28989b7535d829f9bc0, ASSIGN}]
2025-06-17T08:49:34,646 INFO  [PEWorker-9] procedure.MasterProcedureScheduler: Took xlock for pid=5, ppid=4, state=RUNNABLE:REGION_STATE_TRANSITION_GET_ASSIGN_CANDIDATE; TransitRegionStateProcedure table=hbase:namespace, region=48e6e558fbe7d28989b7535d829f9bc0, ASSIGN
2025-06-17T08:49:34,653 INFO  [PEWorker-9] assignment.TransitRegionStateProcedure: Starting pid=5, ppid=4, state=RUNNABLE:REGION_STATE_TRANSITION_GET_ASSIGN_CANDIDATE, locked=true; TransitRegionStateProcedure table=hbase:namespace, region=48e6e558fbe7d28989b7535d829f9bc0, ASSIGN; state=OFFLINE, location=4fdf0e11b739,16020,1750150154692; forceNewPlan=false, retain=false
2025-06-17T08:49:34,810 INFO  [PEWorker-10] assignment.RegionStateStore: pid=5 updating hbase:meta row=48e6e558fbe7d28989b7535d829f9bc0, regionState=OPENING, regionLocation=4fdf0e11b739,16020,1750150154692
2025-06-17T08:49:34,823 INFO  [PEWorker-10] procedure2.ProcedureExecutor: Initialized subprocedures=[{pid=6, ppid=5, state=RUNNABLE; OpenRegionProcedure 48e6e558fbe7d28989b7535d829f9bc0, server=4fdf0e11b739,16020,1750150154692}]
2025-06-17T08:49:35,099 INFO  [PEWorker-12] assignment.RegionStateStore: pid=5 updating hbase:meta row=48e6e558fbe7d28989b7535d829f9bc0, regionState=OPEN, openSeqNum=2, regionLocation=4fdf0e11b739,16020,1750150154692
2025-06-17T08:49:35,117 INFO  [PEWorker-12] procedure2.ProcedureExecutor: Finished subprocedure pid=6, resume processing ppid=5
2025-06-17T08:49:35,119 INFO  [PEWorker-12] procedure2.ProcedureExecutor: Finished pid=6, ppid=5, state=SUCCESS; OpenRegionProcedure 48e6e558fbe7d28989b7535d829f9bc0, server=4fdf0e11b739,16020,1750150154692 in 286 msec
2025-06-17T08:49:35,126 INFO  [PEWorker-13] procedure2.ProcedureExecutor: Finished subprocedure pid=5, resume processing ppid=4
2025-06-17T08:49:35,126 INFO  [PEWorker-13] procedure2.ProcedureExecutor: Finished pid=5, ppid=4, state=SUCCESS; TransitRegionStateProcedure table=hbase:namespace, region=48e6e558fbe7d28989b7535d829f9bc0, ASSIGN in 479 msec
2025-06-17T08:49:35,130 INFO  [PEWorker-14] procedure.CreateTableProcedure: pid=4, state=RUNNABLE:CREATE_TABLE_UPDATE_DESC_CACHE, locked=true; CreateTableProcedure table=hbase:namespace execute state=CREATE_TABLE_UPDATE_DESC_CACHE
2025-06-17T08:49:35,141 INFO  [PEWorker-14] hbase.MetaTableAccessor: Updated tableName=hbase:namespace, state=ENABLED in hbase:meta
2025-06-17T08:49:35,152 INFO  [PEWorker-14] procedure.CreateTableProcedure: pid=4, state=RUNNABLE:CREATE_TABLE_POST_OPERATION, locked=true; CreateTableProcedure table=hbase:namespace execute state=CREATE_TABLE_POST_OPERATION
2025-06-17T08:49:35,160 INFO  [PEWorker-14] procedure2.ProcedureExecutor: Finished pid=4, state=SUCCESS; CreateTableProcedure table=hbase:namespace in 872 msec
2025-06-17T08:49:35,348 INFO  [PEWorker-15] procedure2.ProcedureExecutor: Finished pid=7, state=SUCCESS; CreateNamespaceProcedure, namespace=default in 66 msec
2025-06-17T08:49:35,407 INFO  [PEWorker-16] procedure2.ProcedureExecutor: Finished pid=8, state=SUCCESS; CreateNamespaceProcedure, namespace=hbase in 42 msec
2025-06-17T08:49:35,429 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.HMaster: Master has completed initialization 17.002sec
2025-06-17T08:49:35,432 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] quotas.MasterQuotaManager: Quota support disabled
2025-06-17T08:49:35,434 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] slowlog.SlowLogMasterService: Slow/Large requests logging to system table hbase:slowlog is disabled. Quitting.
2025-06-17T08:49:35,435 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] zookeeper.ZKWatcher: not a secure deployment, proceeding
2025-06-17T08:49:35,437 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=4fdf0e11b739,16000,1750150153003-MobFileCleanerChore, period=86400, unit=SECONDS is enabled.
2025-06-17T08:49:35,438 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=4fdf0e11b739,16000,1750150153003-MobFileCompactionChore, period=604800, unit=SECONDS is enabled.
2025-06-17T08:49:35,458 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=RollingUpgradeChore, period=10, unit=SECONDS is enabled.
2025-06-17T08:50:15,511 INFO  [master/4fdf0e11b739:16000.Chore.1] migrate.RollingUpgradeChore: There is no table to migrate StoreFileTracker!
2025-06-17T08:50:15,513 INFO  [master/4fdf0e11b739:16000.Chore.1] migrate.RollingUpgradeChore: All Rolling-Upgrade tasks are complete, shutdown RollingUpgradeChore!
2025-06-17T09:04:20,894 INFO  [master:store-Flusher] regionserver.HRegion: Flushing 1595e783b53d99cd5eef43b6debb2682 3/3 column families, dataSize=24.45 KB heapSize=31.78 KB
2025-06-17T09:04:21,613 INFO  [master:store-Flusher] regionserver.DefaultStoreFlusher: Flushed memstore data size=504 B at sequenceid=76 (bloomFilter=true), to=hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/1595e783b53d99cd5eef43b6debb2682/.tmp/info/459856f548794777b9e873cf3e01c3b5
2025-06-17T09:04:22,295 INFO  [master:store-Flusher] regionserver.DefaultStoreFlusher: Flushed memstore data size=23.90 KB at sequenceid=76 (bloomFilter=true), to=hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/1595e783b53d99cd5eef43b6debb2682/.tmp/proc/2d7e91104937447f91a203af3bacc372
2025-06-17T09:04:22,324 INFO  [master:store-Flusher] regionserver.StoreFileReader: Loaded Delete Family Bloom (CompoundBloomFilter) metadata for 2d7e91104937447f91a203af3bacc372
2025-06-17T09:04:22,414 INFO  [master:store-Flusher] regionserver.DefaultStoreFlusher: Flushed memstore data size=65 B at sequenceid=76 (bloomFilter=true), to=hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/1595e783b53d99cd5eef43b6debb2682/.tmp/rs/0ce5315104c74539b041edf6780b751e
2025-06-17T09:04:22,486 INFO  [master:store-Flusher] regionserver.HStore: Added hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/1595e783b53d99cd5eef43b6debb2682/info/459856f548794777b9e873cf3e01c3b5, entries=8, sequenceid=76, filesize=5.4 K
2025-06-17T09:04:22,515 INFO  [master:store-Flusher] regionserver.StoreFileReader: Loaded Delete Family Bloom (CompoundBloomFilter) metadata for 2d7e91104937447f91a203af3bacc372
2025-06-17T09:04:22,516 INFO  [master:store-Flusher] regionserver.HStore: Added hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/1595e783b53d99cd5eef43b6debb2682/proc/2d7e91104937447f91a203af3bacc372, entries=8, sequenceid=76, filesize=5.4 K
2025-06-17T09:04:22,550 INFO  [master:store-Flusher] regionserver.HStore: Added hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/1595e783b53d99cd5eef43b6debb2682/rs/0ce5315104c74539b041edf6780b751e, entries=1, sequenceid=76, filesize=4.9 K
2025-06-17T09:04:22,560 INFO  [master:store-Flusher] regionserver.HRegion: Finished flush of dataSize ~24.45 KB/25040, heapSize ~31.73 KB/32496, currentSize=0 B/0 for 1595e783b53d99cd5eef43b6debb2682 in 1669ms, sequenceid=76, compaction requested=false
2025-06-17T09:04:30,630 INFO  [master:store-WAL-Roller] wal.AbstractFSWAL: Rolled WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750150160552 with entries=75, filesize=29.75 KB; new WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750151070547
2025-06-17T09:04:30,633 INFO  [Log-Archiver-0] wal.AbstractFSWAL: Archiving hdfs://atlas-hadoop:9000/hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750150160552 to hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750150160552
2025-06-17T09:04:30,699 INFO  [Log-Archiver-0] region.MasterRegionUtils: Moved hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750150160552 to hdfs://atlas-hadoop:9000/hbase/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750150160552$masterlocalwal$
2025-06-17T09:19:22,587 INFO  [master:store-Flusher] regionserver.HRegion: Flushing 1595e783b53d99cd5eef43b6debb2682 3/3 column families, dataSize=65 B heapSize=984 B
2025-06-17T09:19:23,198 INFO  [master:store-Flusher] regionserver.DefaultStoreFlusher: Flushed memstore data size=65 B at sequenceid=81 (bloomFilter=true), to=hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/1595e783b53d99cd5eef43b6debb2682/.tmp/proc/ddaa7f8b5e824dc0b1f14acc736e74d8
2025-06-17T09:19:23,239 INFO  [master:store-Flusher] regionserver.StoreFileReader: Loaded Delete Family Bloom (CompoundBloomFilter) metadata for ddaa7f8b5e824dc0b1f14acc736e74d8
2025-06-17T09:19:23,277 INFO  [master:store-Flusher] regionserver.StoreFileReader: Loaded Delete Family Bloom (CompoundBloomFilter) metadata for ddaa7f8b5e824dc0b1f14acc736e74d8
2025-06-17T09:19:23,278 INFO  [master:store-Flusher] regionserver.HStore: Added hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/1595e783b53d99cd5eef43b6debb2682/proc/ddaa7f8b5e824dc0b1f14acc736e74d8, entries=1, sequenceid=81, filesize=4.9 K
2025-06-17T09:19:23,284 INFO  [master:store-Flusher] regionserver.HRegion: Finished flush of dataSize ~65 B/65, heapSize ~456 B/456, currentSize=0 B/0 for 1595e783b53d99cd5eef43b6debb2682 in 699ms, sequenceid=81, compaction requested=false
2025-06-17T09:19:30,921 INFO  [master:store-WAL-Roller] wal.AbstractFSWAL: Rolled WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750151070547 with entries=4, filesize=808 B; new WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750151970844
2025-06-17T09:19:30,926 INFO  [Log-Archiver-0] wal.AbstractFSWAL: Archiving hdfs://atlas-hadoop:9000/hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750151070547 to hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750151070547
2025-06-17T09:19:30,941 WARN  [Close-WAL-Writer-1] asyncfs.FanOutOneBlockAsyncDFSOutputHelper: complete file /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750151070547 not finished, retry = 0
2025-06-17T09:19:30,950 INFO  [Log-Archiver-0] region.MasterRegionUtils: Moved hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750151070547 to hdfs://atlas-hadoop:9000/hbase/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750151070547$masterlocalwal$
2025-06-17T09:34:31,259 INFO  [master:store-WAL-Roller] wal.AbstractFSWAL: Rolled WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750151970844 with entries=0, filesize=85 B; new WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750152871127
2025-06-17T09:34:31,261 INFO  [Log-Archiver-0] wal.AbstractFSWAL: Archiving hdfs://atlas-hadoop:9000/hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750151970844 to hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750151970844
2025-06-17T09:34:31,287 INFO  [Log-Archiver-0] region.MasterRegionUtils: Moved hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750151970844 to hdfs://atlas-hadoop:9000/hbase/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750151970844$masterlocalwal$
2025-06-17T09:34:31,287 WARN  [Close-WAL-Writer-2] asyncfs.FanOutOneBlockAsyncDFSOutputHelper: complete file /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750151970844 not finished, retry = 0
2025-06-17T09:49:31,574 INFO  [master:store-WAL-Roller] wal.AbstractFSWAL: Rolled WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750152871127 with entries=0, filesize=85 B; new WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750153771471
2025-06-17T09:49:31,586 INFO  [Log-Archiver-0] wal.AbstractFSWAL: Archiving hdfs://atlas-hadoop:9000/hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750152871127 to hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750152871127
2025-06-17T09:49:31,606 WARN  [Close-WAL-Writer-3] asyncfs.FanOutOneBlockAsyncDFSOutputHelper: complete file /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750152871127 not finished, retry = 0
2025-06-17T09:49:31,621 INFO  [Log-Archiver-0] region.MasterRegionUtils: Moved hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750152871127 to hdfs://atlas-hadoop:9000/hbase/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750152871127$masterlocalwal$
2025-06-17T09:49:34,398 INFO  [master/4fdf0e11b739:16000.Chore.1] hbck.HbckChore: Loaded 2 regions (0 disabled, 0 split parents) from in-memory state
2025-06-17T09:49:34,402 INFO  [master/4fdf0e11b739:16000.Chore.1] hbck.HbckChore: Loaded 2 regions from 1 regionservers' reports and found 0 orphan regions
2025-06-17T09:49:34,439 INFO  [master/4fdf0e11b739:16000.Chore.1] hbck.HbckChore: Loaded 2 tables 2 regions from filesystem and found 0 orphan regions
2025-06-17T10:04:31,924 INFO  [master:store-WAL-Roller] wal.AbstractFSWAL: Rolled WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750153771471 with entries=0, filesize=85 B; new WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750154671785
2025-06-17T10:04:31,926 INFO  [Log-Archiver-0] wal.AbstractFSWAL: Archiving hdfs://atlas-hadoop:9000/hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750153771471 to hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750153771471
2025-06-17T10:04:31,951 INFO  [Log-Archiver-0] region.MasterRegionUtils: Moved hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750153771471 to hdfs://atlas-hadoop:9000/hbase/oldWALs/4fdf0e11b739%2C16000%2C1750150153003.1750153771471$masterlocalwal$
2025-06-17T10:04:31,955 WARN  [Close-WAL-Writer-4] asyncfs.FanOutOneBlockAsyncDFSOutputHelper: complete file /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750153771471 not finished, retry = 0
